lead_time,avg_price_per_room,no_of_special_requests,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
26,161.0,0,10,25629,17,4,1,2,0,1
98,121.5,2,7,14473,16,4,1,1,0,1
433,70.0,0,9,23720,8,3,3,0,0,0
195,72.25,0,8,5843,8,3,5,2,0,1
188,130.0,0,6,18709,15,3,2,0,0,0
74,112.5,1,4,7411,6,4,3,0,0,0
273,95.0,0,5,22965,13,3,2,1,0,0
6,66.3,0,12,25677,15,4,3,1,3,1
89,83.66,1,3,33711,21,4,5,2,0,1
56,180.0,1,3,20727,20,4,0,2,0,0
103,114.3,1,7,6176,12,4,5,1,0,1
155,117.42,0,8,8934,30,4,11,4,0,0
3,128.8,0,6,6712,11,4,1,0,0,1
180,120.0,0,10,19752,10,3,2,1,0,0
92,89.85,2,7,21523,12,4,4,0,0,1
56,82.0,0,9,21649,17,3,2,0,1,1
279,110.0,0,10,7134,12,4,3,0,0,0
134,114.3,1,8,31509,10,4,2,0,0,1
8,139.0,1,3,2604,25,4,2,0,3,1
10,172.0,2,4,15869,29,4,2,2,0,1
2,148.0,1,8,11828,21,4,0,2,0,1
52,79.5,1,2,29922,26,4,2,1,3,0
116,61.0,0,2,8318,28,3,1,2,0,0
89,186.3,0,7,4659,21,4,2,0,0,0
193,120.0,0,6,5568,20,4,2,1,0,0
92,90.0,0,11,8459,11,3,1,0,0,1
95,130.5,1,7,5934,1,4,3,2,0,1
6,109.0,1,2,8596,4,4,3,1,0,0
60,106.2,1,4,33985,1,4,2,1,0,1
359,105.0,1,9,11597,16,4,2,2,0,0
67,88.4,2,11,32361,23,4,4,0,0,0
177,123.75,0,8,16792,3,4,4,1,0,0
101,54.06,0,4,25330,12,4,5,1,3,1
15,80.0,0,2,1598,19,2,1,0,0,1
30,94.2,0,8,35681,31,4,1,0,0,1
89,128.85,0,5,7924,8,4,2,2,0,1
21,133.5,0,9,13400,29,4,4,0,0,0
6,70.0,0,8,32354,5,3,4,2,0,1
135,119.85,2,6,10944,16,4,3,1,0,1
1,0.0,0,3,16525,2,4,1,0,0,1
37,145.8,2,9,34900,21,4,3,1,0,1
45,75.0,1,11,7955,7,3,5,2,0,1
168,72.25,2,8,25584,12,3,3,2,0,1
143,100.3,0,6,17547,2,4,3,2,0,0
25,75.2,0,11,15661,29,4,1,0,0,1
102,101.5,0,10,5665,16,4,2,0,1,0
4,81.6,2,12,13534,5,3,2,2,0,1
108,108.0,2,10,33359,17,4,3,1,3,1
8,65.0,1,7,2132,28,2,1,0,0,1
56,185.0,0,9,18973,25,3,2,2,0,1
12,220.0,0,8,13371,19,4,1,0,0,0
0,80.0,0,8,19992,23,4,0,1,0,1
37,75.0,1,10,11387,30,3,1,2,0,1
0,158.0,0,5,22552,9,4,1,1,0,1
39,87.0,0,8,13505,14,3,2,0,1,1
36,103.95,0,4,9682,8,4,1,0,0,1
63,131.75,2,7,31251,26,3,5,0,0,1
87,112.01,1,5,3930,29,4,2,2,0,1
58,79.2,1,11,1895,13,4,2,1,0,1
301,52.0,0,11,9535,18,3,2,0,0,0
346,115.0,1,9,1808,13,4,2,0,1,0
361,91.0,0,11,19052,4,4,1,0,0,0
3,65.0,0,6,34903,6,2,0,1,0,1
49,71.0,0,12,31660,30,3,4,0,0,1
19,135.0,0,5,25687,7,4,1,0,0,1
74,101.5,0,9,27329,18,3,2,0,1,1
34,107.1,1,6,628,14,4,3,0,3,1
73,79.05,1,3,34081,16,4,4,1,0,0
0,67.0,0,11,24738,25,2,1,0,0,1
94,96.3,1,4,14654,12,4,2,0,0,1
134,76.58,1,5,21506,9,4,4,1,0,1
1,80.0,0,1,8475,18,4,0,1,0,1
75,127.8,1,7,2266,30,4,1,0,0,1
100,140.0,1,9,11048,28,3,4,0,1,1
91,116.1,0,6,6272,18,4,1,1,3,0
22,95.0,0,10,9057,11,3,3,0,0,1
13,153.0,0,8,34652,24,4,1,1,0,1
32,73.0,0,11,21202,20,3,2,0,0,1
63,126.9,1,6,23144,9,4,3,0,0,0
26,127.2,0,9,26961,5,4,3,1,0,0
296,117.0,1,9,1890,21,4,4,0,1,0
8,95.0,0,4,7220,5,4,1,0,0,0
7,130.67,0,8,23160,13,4,1,2,0,0
263,110.0,0,10,29728,21,3,2,0,0,0
140,70.0,0,12,11389,29,3,5,0,0,1
131,94.5,0,8,24095,15,3,1,2,1,1
6,137.0,0,3,19617,3,4,3,0,0,0
219,145.1,1,9,11836,13,4,2,0,0,0
19,75.0,0,7,30814,18,3,1,1,3,1
16,142.0,4,10,11242,1,4,2,0,0,1
57,75.0,0,9,20747,16,3,2,0,0,1
7,152.0,1,9,28486,14,4,2,1,0,1
18,65.0,1,10,6253,18,2,1,0,0,1
31,64.67,1,11,14018,14,4,5,2,0,1
6,85.0,0,8,14065,28,3,1,2,0,1
148,67.0,0,12,579,30,3,4,1,0,1
63,118.33,3,11,15961,10,4,3,0,3,1
178,94.62,0,8,28109,23,4,3,0,0,0
151,71.0,0,1,9303,19,3,4,0,0,1
93,72.25,2,12,30212,3,4,3,1,0,1
102,86.4,2,12,21161,6,4,2,0,0,0
167,72.25,1,8,28889,4,3,3,2,0,1
57,103.8,1,10,15931,30,4,1,2,0,1
181,76.5,2,8,11198,6,4,2,0,0,0
245,107.59,0,9,9724,22,4,5,2,0,0
49,80.75,0,6,4335,3,3,2,0,0,1
71,120.0,0,6,18651,14,3,3,0,0,1
44,75.0,0,2,23920,17,3,3,0,0,1
2,63.75,0,6,22696,26,3,3,2,3,1
147,106.25,2,6,32956,28,4,5,2,0,1
0,223.0,0,5,15140,19,4,1,0,0,0
44,67.5,0,2,31097,12,4,2,0,3,0
116,59.5,0,3,4794,25,4,2,2,0,0
11,126.0,1,5,3525,8,4,1,2,0,1
129,114.3,1,8,31413,6,4,1,0,0,1
13,85.29,1,8,2390,27,4,5,2,0,0
186,80.75,0,9,23100,2,3,2,2,0,1
20,93.0,2,2,25990,7,4,1,2,0,1
12,95.0,0,2,30418,15,4,3,1,0,1
10,80.75,0,12,4254,5,4,1,1,0,1
102,59.5,0,11,10714,7,3,2,1,3,0
7,94.0,0,8,34189,8,2,0,1,0,1
26,124.0,3,9,30103,12,4,1,2,0,1
106,90.95,1,4,23388,17,4,2,2,0,1
320,115.0,1,8,19152,18,3,2,0,1,0
0,69.0,1,11,5221,30,4,7,3,0,1
13,81.0,0,3,17767,8,4,2,0,3,1
15,103.44,0,4,7964,27,4,3,0,0,0
270,80.0,0,4,34331,20,3,4,0,0,1
102,89.25,0,10,22996,16,4,2,1,0,1
102,87.0,0,10,21012,16,3,2,0,1,1
1,65.0,0,9,14931,30,2,1,0,0,1
78,95.0,1,9,11451,29,3,3,0,0,1
112,100.0,0,6,14638,2,3,2,0,0,1
273,109.0,0,7,35024,17,3,2,0,1,0
25,129.0,2,10,35556,17,4,2,1,0,1
72,79.65,0,10,16604,30,4,2,2,3,0
93,76.5,2,8,16711,15,4,3,2,0,0
91,114.3,0,7,29120,6,4,1,0,0,1
